kfg_id,provenance_display,geo_zone,cluster_label,typology,typology_label,n_cords,n_pattern_types,n_unique_colors,numeric_coverage,frac_broken,iso_score,anomaly_class,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0016,Unknown,,Simple,0,T1,23,0,3,0.391304347826087,0.0,0.5652387812768501,High-confidence,0,0,0,0,0,0,0,0,0
KH0017,Unknown,,Simple,0,T1,11,1,2,1.0,0.0,0.3656141687704584,Normal,1,0,0,0,0,0,0,0,0
KH0018,Unknown,,Simple,0,T1,39,3,1,0.6923076923076923,0.0,0.3978415463870608,Normal,1,0,1,0,0,0,0,1,0
KH0019,Unknown,,Simple,0,T1,10,0,9,1.0,0.0,0.3722532087689488,Normal,0,0,0,0,0,0,0,0,0
KH0020,Unknown,,Simple,0,T1,9,1,1,0.4444444444444444,0.0,0.3851126069409997,Normal,1,0,0,0,0,0,0,0,0
KH0021,Unknown,,Simple,0,T1,10,2,2,1.0,0.1,0.3558764975865346,Normal,1,0,0,0,0,0,0,0,1
KH0022,Unknown,,Simple,0,T1,75,2,7,0.8,0.12,0.3517616421578885,Normal,1,1,0,0,0,0,0,0,0
KH0023,Unknown,,Simple,0,T1,3,0,2,1.0,0.0,0.3619284002349338,Normal,0,0,0,0,0,0,0,0,0
KH0024,Unknown,,Simple,0,T1,8,1,4,0.625,0.0,0.3596250994868418,Normal,0,0,0,0,0,0,0,0,1
KH0025,Unknown,,Simple,0,T1,3,0,3,0.6666666666666666,0.0,0.3649348038105235,Normal,0,0,0,0,0,0,0,0,0
KH0026,Unknown,,Simple,0,T1,37,2,4,0.3513513513513513,0.0,0.3913813890056822,Normal,1,1,0,0,0,0,0,0,0
KH0027,Unknown,,Simple,0,T1,77,5,5,0.5324675324675324,0.1298701298701298,0.378298377303644,Normal,1,1,1,0,0,1,0,1,0
KH0028,Unknown,,Complex,1,T2,260,4,5,0.8807692307692307,0.1038461538461538,0.4862893835166941,Normal,1,1,1,0,0,0,0,1,0
KH0029,Unknown,,Simple,0,T1,28,1,3,0.7857142857142857,0.1071428571428571,0.3513806538925382,Normal,0,0,0,1,0,0,0,0,0
KH0030,Unknown,,Simple,0,T1,56,5,3,0.625,0.0714285714285714,0.3733935338265002,Normal,1,0,1,1,1,0,0,0,1
KH0031,Aankoop,,Simple,0,T1,144,5,23,0.8472222222222222,0.0763888888888889,0.4244116662557979,Normal,1,0,1,1,0,0,0,1,1
KH0032,La Puntilla (Paracas/Pisco),Cañete–Pisco,Simple,0,T1,28,1,3,0.9285714285714286,0.2857142857142857,0.3604208849095527,Normal,1,0,0,0,0,0,0,0,0
KH0033,La Puntilla (Paracas/Pisco),Cañete–Pisco,Simple,0,T1,66,4,5,0.3484848484848485,0.1212121212121212,0.3809150048482996,Normal,1,1,1,1,0,0,0,0,0
KH0034,Nazca,Nazca & Far South,Complex,1,T2,541,4,15,0.4399260628465804,0.2476894639556377,0.5553845786547194,High-confidence,0,1,0,0,0,1,0,1,1
KH0035,Unknown,,Simple,0,T1,12,0,3,0.3333333333333333,0.6666666666666666,0.4176371662356957,Normal,0,0,0,0,0,0,0,0,0
KH0036,Unknown,,Simple,0,T1,18,2,4,1.0,0.0,0.3531147311628083,Normal,0,1,0,0,0,0,0,0,1
KH0037,Unknown,,Simple,0,T1,15,0,2,0.9333333333333332,0.0666666666666666,0.3663366986377233,Normal,0,0,0,0,0,0,0,0,0
KH0038,Unknown,,Simple,0,T1,25,3,3,0.92,0.04,0.3523055800646614,Normal,1,1,1,0,0,0,0,0,0
KH0039,Unknown,,Simple,0,T1,10,0,3,0.8,0.0,0.4137323685639822,Candidate,0,0,0,0,0,0,0,0,0
KH0040,Unknown,,Simple,0,T1,21,1,3,0.9047619047619048,0.1904761904761904,0.3494492593418205,Normal,1,0,0,0,0,0,0,0,0
KH0041,Unknown,,Simple,0,T1,11,2,4,0.4545454545454545,0.4545454545454545,0.3864236267940019,Normal,0,0,0,1,0,0,0,0,1
KH0042,Pachacamac,Central Coast,Complex,0,T1,179,7,13,0.7541899441340782,0.0111731843575419,0.4166091630392842,Normal,1,1,1,1,0,1,0,1,1
KH0043,Unknown,,Simple,0,T1,16,0,6,0.1875,0.0,0.390388961990164,Normal,0,0,0,0,0,0,0,0,0
KH0044,Unknown,,Simple,0,T1,4,0,1,1.0,0.0,0.3677122418325328,Normal,0,0,0,0,0,0,0,0,0
KH0045,Unknown,,Simple,0,T1,12,0,4,1.0,0.0,0.3601651381186909,Normal,0,0,0,0,0,0,0,0,0
KH0046,Unknown,,Simple,0,T1,38,2,8,0.7368421052631579,0.1842105263157894,0.3455914141998741,Normal,1,1,0,0,0,0,0,0,0
KH0047,"Lima (Maranga, Huaca 1)",Central Coast,Simple,0,T1,81,5,9,0.8024691358024691,0.4691358024691358,0.43710186061093,Normal,1,1,1,1,0,0,0,0,1
KH0048,"Lima (Maranga, Huaca 1)",Central Coast,Simple,0,T1,82,3,11,0.5121951219512195,0.6219512195121951,0.398184748154103,Normal,1,0,1,0,0,0,0,0,1
KH0049,South Coast,Nazca & Far South,Complex,1,T2,367,3,8,0.9564032697547684,0.0326975476839237,0.5552266798924551,High-confidence,1,1,0,0,0,0,1,0,0
KH0050,Unknown,,Simple,0,T1,36,4,4,0.8333333333333334,0.7222222222222222,0.39085209434777,Normal,1,1,1,0,0,0,0,0,1
KH0051,Unknown,,Simple,0,T1,45,1,2,0.9111111111111112,0.0222222222222222,0.4113887186841737,Normal,1,0,0,0,0,0,0,0,0
KH0052,Unknown,,Simple,0,T1,56,4,5,0.9285714285714286,0.0535714285714285,0.3942032344917215,Normal,1,0,1,1,1,0,0,0,0
KH0053,Unknown,,Simple,0,T1,14,1,5,0.7142857142857143,0.2142857142857142,0.4777323774488915,High-confidence,1,0,0,0,0,0,0,0,0
KH0054,Unknown,,Simple,0,T1,29,1,7,0.896551724137931,0.0344827586206896,0.3521942064318556,Normal,0,0,0,1,0,0,0,0,0
KH0055,Unknown,,Complex,0,T1,159,7,7,0.9119496855345912,0.0880503144654088,0.4060412582055296,Normal,1,1,1,1,1,0,1,1,0
KH0056,Unknown,,Simple,0,T1,53,6,15,0.8490566037735849,0.1698113207547169,0.3774643889695552,Normal,1,1,1,1,0,0,0,1,1
KH0057,Unknown,,Complex,0,T1,126,6,10,0.6984126984126984,0.0317460317460317,0.421456240230148,Normal,1,1,1,1,0,0,1,0,1
KH0058,Unknown,,Complex,0,T1,189,8,11,0.9206349206349206,0.074074074074074,0.4544592891497503,Normal,1,1,1,1,1,0,1,1,1
KH0059,La Centinela / Tambo de Mora,Cañete–Pisco,Simple,0,T1,80,4,9,0.925,0.0,0.3699182947353802,Normal,1,1,1,0,0,0,0,1,0
KH0060,La Centinela / Tambo de Mora,Cañete–Pisco,Simple,0,T1,86,2,10,0.7441860465116279,0.0697674418604651,0.3697190009368284,Normal,0,0,0,0,0,1,0,1,0
KH0061,Unknown,,Complex,0,T1,370,6,12,0.4324324324324324,0.8243243243243243,0.499577489663326,Normal,1,1,1,1,0,0,1,1,0
KH0062,Hda. Ullujalla / Callengo,Cañete–Pisco,Simple,0,T1,45,2,6,0.8888888888888888,0.1333333333333333,0.3439651496661074,Normal,1,0,0,0,0,0,0,1,0
KH0063,Hda. Ullujalla / Callengo,Cañete–Pisco,Simple,0,T1,49,2,3,0.673469387755102,0.0408163265306122,0.3762346014347793,Normal,0,0,0,0,0,0,0,1,1
KH0064,Hda. Ullujalla / Callengo,Cañete–Pisco,Simple,0,T1,20,0,2,0.6,0.05,0.3644206914863876,Normal,0,0,0,0,0,0,0,0,0
KH0065,Hda. Ullujalla / Callengo,Cañete–Pisco,Simple,0,T1,26,3,8,0.9230769230769232,0.0769230769230769,0.3455480838397243,Normal,1,0,1,1,0,0,0,0,0
KH0066,Hda. Ullujalla / Callengo,Cañete–Pisco,Simple,0,T1,3,0,2,1.0,0.0,0.3619284002349338,Normal,0,0,0,0,0,0,0,0,0
KH0067,Ica Valley (Hda. Callango / Ocucaje),Ica & Paracas,Simple,0,T1,11,0,5,0.9090909090909092,0.2727272727272727,0.3657783750279674,Normal,0,0,0,0,0,0,0,0,0
KH0068,Unknown,,Complex,1,T2,589,7,29,0.3123938879456706,0.0390492359932088,0.5579246972797149,High-confidence,1,1,1,1,0,1,0,1,1
KH0069,Unknown,,Simple,0,T1,38,1,2,0.5,0.0789473684210526,0.3718662990661244,Normal,0,0,0,0,0,0,0,0,1
KH0070,Chala,Nazca & Far South,Simple,0,T1,8,1,2,1.0,0.0,0.3538619590505464,Normal,0,0,0,0,0,0,0,0,1
KH0071,Chala,Nazca & Far South,Simple,0,T1,15,1,2,1.0,0.0,0.3525491179243644,Normal,0,0,0,0,0,0,0,0,1
KH0072,Chala,Nazca & Far South,Simple,0,T1,18,2,3,0.8888888888888888,0.0,0.3569690407321496,Normal,0,0,1,0,0,0,0,1,0
KH0073,Chala,Nazca & Far South,Simple,0,T1,32,3,2,0.8125,0.09375,0.3573527688636605,Normal,0,1,0,0,1,0,0,1,0
KH0074,Chala,Nazca & Far South,Simple,0,T1,10,0,2,0.8,0.0,0.3573040198942693,Normal,0,0,0,0,0,0,0,0,0
KH0075,Chala,Nazca & Far South,Simple,0,T1,31,2,3,0.8387096774193549,0.1935483870967742,0.3509259114264141,Normal,1,0,1,0,0,0,0,0,0
KH0076,Chala,Nazca & Far South,Simple,0,T1,7,0,3,0.5714285714285714,0.2857142857142857,0.3756795516150278,Normal,0,0,0,0,0,0,0,0,0
KH0077,Chala,Nazca & Far South,Simple,0,T1,5,1,4,1.0,0.2,0.3591158444563452,Normal,0,0,0,0,0,0,0,0,1
KH0078,Chala,Nazca & Far South,Simple,0,T1,5,1,4,0.4,0.0,0.3785618500455146,Normal,0,0,0,0,0,0,0,0,1
KH0079,Chala,Nazca & Far South,Complex,0,T1,172,6,4,0.9418604651162792,0.1046511627906976,0.4307263862916539,Normal,1,1,1,0,1,1,0,0,1
KH0080,Chala,Nazca & Far South,Complex,0,T1,163,5,6,0.3006134969325153,0.0,0.4138300092377323,Normal,1,1,1,1,0,0,0,0,1
KH0081,Nazca (Monte de Cacatilla),Nazca & Far South,Complex,0,T1,217,5,7,0.9539170506912442,0.1105990783410138,0.3989689068876795,Normal,1,1,1,0,1,0,0,0,1
KH0082,Lluta Valley,Arica & N. Chile,Complex,1,T2,1831,7,236,0.2184598580010923,0.0016384489350081,0.7547821484771406,High-confidence,1,1,1,1,1,0,1,1,0
KH0083,Mollepampa,Chachapoyas,Complex,1,T2,591,5,151,0.6040609137055838,0.0,0.7350448057135925,High-confidence,1,0,1,1,0,0,1,1,0
KH0084,Lluta Valley,Arica & N. Chile,Complex,1,T2,405,4,229,0.4,0.0,0.6315107043975433,High-confidence,1,1,1,0,0,0,0,1,0
KH0085,Ica Valley (Rancho San Juan),Ica & Paracas,Simple,0,T1,60,5,1,0.7333333333333333,0.6166666666666667,0.4305589657306493,Normal,1,1,1,0,0,0,0,1,1
KH0086,Ica Valley (Rancho San Juan),Ica & Paracas,Simple,0,T1,25,0,1,0.24,1.0,0.4940563328628687,Candidate,0,0,0,0,0,0,0,0,0
KH0087,Nazca / Ancon,,Simple,0,T1,96,5,6,0.3958333333333333,0.0520833333333333,0.3944774567160687,Normal,1,1,1,0,0,1,0,1,0
KH0088,Nazca / Ancon,,Complex,0,T1,186,3,5,0.5161290322580645,0.0967741935483871,0.3976460243580041,Normal,1,1,1,0,0,0,0,0,0
KH0089,Nazca / Ancon,,Simple,0,T1,16,0,3,1.0,0.0,0.3616896884003797,Normal,0,0,0,0,0,0,0,0,0
KH0090,Nazca / Ancon,,Simple,0,T1,33,4,5,0.9090909090909092,0.0606060606060606,0.3492280468931684,Normal,1,1,1,0,0,0,0,0,1
KH0091,Nazca (Hda. Copara),Nazca & Far South,Simple,0,T1,27,1,4,0.8518518518518519,0.0,0.3476286912175368,Normal,0,1,0,0,0,0,0,0,0
KH0092,Nazca / Ancon,,Simple,0,T1,74,1,5,0.5675675675675675,0.0135135135135135,0.3673092949817843,Normal,0,1,0,0,0,0,0,0,0
KH0093,Nazca / Ancon,,Simple,0,T1,40,2,10,0.95,0.0,0.3726825831669898,Normal,1,0,0,0,0,0,0,0,1
KH0094,Unknown,,Simple,0,T1,8,0,2,1.0,0.625,0.4050668696970242,Normal,0,0,0,0,0,0,0,0,0
KH0095,Unknown,,Simple,0,T1,20,0,3,0.3,0.3,0.4095344706880115,Normal,0,0,0,0,0,0,0,0,0
KH0096,Unknown,,Simple,0,T1,3,0,1,1.0,0.0,0.3685762610531181,Normal,0,0,0,0,0,0,0,0,0
KH0097,Unknown,,Complex,0,T1,319,4,15,0.8087774294670846,0.1630094043887147,0.3971413292344861,Normal,1,1,1,0,1,0,0,0,0
KH0098,Unknown,,Simple,0,T1,45,2,7,0.1111111111111111,0.1777777777777777,0.4028020512273038,Normal,1,0,0,0,0,0,0,0,1
KH0100,Peru (unknown),,Simple,0,T1,97,2,5,0.9896907216494846,0.0103092783505154,0.3711752473559552,Normal,1,0,0,1,0,0,0,0,0
KH0101,Huacho / Pachacamac,Central Coast,Simple,0,T1,95,5,4,0.9578947368421052,0.0,0.379381573955385,Normal,1,1,1,0,0,0,0,1,1
KH0102,Peru (unknown),,Simple,0,T1,35,1,3,0.3428571428571428,0.0285714285714285,0.3884392448167817,Normal,0,0,0,0,0,0,0,0,1
KH0103,Peru (unknown),,Simple,0,T1,58,4,1,1.0,0.0862068965517241,0.381212290390056,Normal,1,1,1,1,0,0,0,0,0
KH0104,Unknown,,Simple,0,T1,89,5,4,0.8764044943820225,0.2696629213483146,0.3735474077974796,Normal,1,1,1,0,0,1,0,0,1
KH0105,Peru (unknown),,Simple,0,T1,56,4,2,0.8928571428571429,0.125,0.3578730213069128,Normal,1,1,1,0,0,0,0,0,1
KH0106,Peru (unknown),,Simple,0,T1,70,4,3,0.8142857142857143,0.1714285714285714,0.3563675415800633,Normal,1,1,1,0,0,1,0,0,0
KH0107,Peru (unknown),,Simple,0,T1,51,0,3,0.7450980392156863,0.1372549019607843,0.4938015185923546,High-confidence,0,0,0,0,0,0,0,0,0
KH0108,Pachacamac,Central Coast,Complex,0,T1,212,6,6,0.9245283018867924,0.0188679245283018,0.4270471618474732,Normal,1,1,1,1,0,0,1,1,0
KH0109,Pachacamac,Central Coast,Simple,0,T1,86,4,6,0.6976744186046512,0.2906976744186046,0.3778115078984304,Normal,1,1,1,0,1,0,0,0,0
KH0110,Pachacamac,Central Coast,Simple,0,T1,64,1,59,0.734375,0.015625,0.454792615638648,Candidate,0,1,0,0,0,0,0,0,0
KH0111,Between Ica and Pisco,Ica & Paracas,Simple,0,T1,101,5,4,0.5643564356435643,0.0495049504950495,0.3724064546997376,Normal,1,1,1,1,0,0,1,0,0
KH0112,Pachacamac,Central Coast,Simple,0,T1,48,3,3,1.0,0.0833333333333333,0.3740859247952684,Normal,1,0,1,0,0,0,0,0,1
KH0113,Ica,Ica & Paracas,Simple,0,T1,73,6,5,0.9452054794520548,0.0547945205479452,0.3712688951385017,Normal,1,1,1,1,1,0,0,0,1
KH0114,Pachacamac,Central Coast,Simple,0,T1,21,2,5,1.0,0.0,0.3679294224135389,Normal,0,0,0,1,0,0,0,0,1
KH0115,Pachacamac,Central Coast,Simple,0,T1,28,2,6,1.0,0.1785714285714285,0.3700166075014738,Normal,1,0,0,0,0,0,0,1,0
KH0116,Pachacamac,Central Coast,Simple,0,T1,20,2,2,1.0,0.0,0.3560162047498188,Normal,1,0,1,0,0,0,0,0,0
KH0117,Ica,Ica & Paracas,Simple,0,T1,71,2,4,0.9577464788732394,0.0,0.3657946936570881,Normal,1,0,0,1,0,0,0,0,0
KH0118,Pachacamac,Central Coast,Simple,0,T1,21,0,1,1.0,0.0952380952380952,0.3698606323055733,Normal,0,0,0,0,0,0,0,0,0
KH0119,Ica,Ica & Paracas,Simple,0,T1,22,2,3,0.9090909090909092,0.0,0.3622198180022462,Normal,1,0,0,0,0,0,0,0,1
KH0120,Marquez,Central Coast,Simple,0,T1,55,3,5,0.8,0.2181818181818181,0.3467219148642024,Normal,1,0,1,0,0,0,0,0,1
KH0121,Marquez,Central Coast,Simple,0,T1,29,2,4,0.896551724137931,0.0344827586206896,0.3415748691635138,Normal,1,0,0,0,0,0,0,0,1
KH0122,Between Ica and Pisco,Ica & Paracas,Simple,0,T1,42,3,6,0.7380952380952381,0.0,0.3672770025153576,Normal,1,1,0,0,0,0,0,1,0
KH0123,Ica,Ica & Paracas,Complex,0,T1,287,6,8,0.7909407665505227,0.024390243902439,0.4442832325004521,Normal,1,1,1,0,1,1,0,0,1
KH0124,Pachacamac,Central Coast,Simple,0,T1,20,2,1,0.95,0.0,0.3614593480436966,Normal,1,0,1,0,0,0,0,0,0
KH0125,Pachacamac,Central Coast,Simple,0,T1,11,2,12,1.0,0.0,0.3756342636281237,Normal,0,0,0,0,0,0,0,1,1
KH0126,Pachacamac,Central Coast,Simple,0,T1,42,0,5,0.0238095238095238,0.9523809523809524,0.4969200406771367,Candidate,0,0,0,0,0,0,0,0,0
KH0127,Between Ica and Pisco,Ica & Paracas,Simple,0,T1,163,4,3,0.6809815950920245,0.0245398773006134,0.3701707481446113,Normal,1,1,1,0,0,0,0,0,1
KH0128,Between Ica and Pisco,Ica & Paracas,Complex,0,T1,357,4,8,0.4901960784313725,0.0392156862745098,0.4166214298323681,Normal,1,0,1,1,0,0,0,1,0
KH0129,Ica,Ica & Paracas,Simple,0,T1,55,3,7,0.7636363636363637,0.0,0.3581348535821607,Normal,1,1,0,0,0,0,0,0,1
KH0130,Ica,Ica & Paracas,Simple,0,T1,13,1,3,0.9230769230769232,0.0,0.3501833160175228,Normal,1,0,0,0,0,0,0,0,0
KH0131,Ica,Ica & Paracas,Simple,0,T1,11,1,3,1.0,0.0909090909090909,0.3541288522971541,Normal,0,1,0,0,0,0,0,0,0
KH0132,Pachacamac,Central Coast,Simple,0,T1,20,0,2,0.8,0.25,0.3699460557152061,Normal,0,0,0,0,0,0,0,0,0
KH0133,Pachacamac,Central Coast,Simple,0,T1,11,0,9,0.8181818181818182,0.1818181818181818,0.3664290927316175,Normal,0,0,0,0,0,0,0,0,0
KH0134,Ica,Ica & Paracas,Simple,0,T1,36,2,30,1.0,0.0,0.3897847445194426,Candidate,0,1,1,0,0,0,0,0,0
KH0135,Pachacamac,Central Coast,Complex,0,T1,281,2,3,0.0747330960854092,0.0071174377224199,0.5014742619560884,High-confidence,1,1,0,0,0,0,0,0,0
KH0136,Lima,Central Coast,Simple,0,T1,9,0,1,1.0,0.1111111111111111,0.3731589682943874,Normal,0,0,0,0,0,0,0,0,0
KH0137,Ica,Ica & Paracas,Simple,0,T1,94,2,17,0.7446808510638298,0.0,0.3754421032849985,Normal,1,0,0,1,0,0,0,0,0
KH0138,Marquez,Central Coast,Simple,0,T1,35,3,3,0.8571428571428571,0.8285714285714286,0.4048519849592456,Normal,1,1,1,0,0,0,0,0,0
KH0139,Marquez,Central Coast,Simple,0,T1,28,0,3,1.0,0.8571428571428571,0.4366633896162706,Candidate,0,0,0,0,0,0,0,0,0
KH0141,Ica,Ica & Paracas,Complex,0,T1,157,6,33,0.8662420382165605,0.0127388535031847,0.4595591189808153,Normal,1,1,1,1,1,0,0,1,0
KH0142,Nazca,Nazca & Far South,Simple,0,T1,6,2,2,0.8333333333333334,0.0,0.3516173031489871,Normal,1,0,0,0,1,0,0,0,0
KH0143,Nazca,Nazca & Far South,Complex,0,T1,289,5,18,0.4844290657439446,0.2076124567474048,0.4167066642603476,Normal,1,1,1,0,0,1,0,1,0
KH0144,Ica,Ica & Paracas,Simple,0,T1,14,0,4,1.0,0.0,0.3577594816726291,Normal,0,0,0,0,0,0,0,0,0
KH0145,Near Lima,Central Coast,Simple,0,T1,28,3,7,0.9285714285714286,0.0,0.3609795273701837,Normal,0,0,0,1,1,0,0,1,0
KH0147,Pachacamac,Central Coast,Complex,1,T2,287,6,13,0.7142857142857143,0.0871080139372822,0.4580409978200151,Normal,1,1,1,1,0,0,1,1,0
KH0148,Marquez,Central Coast,Simple,0,T1,15,1,4,0.6666666666666666,0.0,0.3534766988799496,Normal,1,0,0,0,0,0,0,0,0
KH0149,Marquez,Central Coast,Simple,0,T1,49,3,7,0.7551020408163265,0.4081632653061224,0.3578164911965222,Normal,1,0,1,0,0,0,0,0,1
KH0150,Pachacamac,Central Coast,Simple,0,T1,13,2,2,0.6153846153846154,0.0,0.3556193761132512,Normal,0,1,0,0,0,0,0,0,1
KH0151,Ica,Ica & Paracas,Simple,0,T1,23,1,9,0.9130434782608696,0.0869565217391304,0.3494609649425585,Normal,1,0,0,0,0,0,0,0,0
KH0152,Nazca,Nazca & Far South,Complex,0,T1,285,7,4,0.9052631578947368,0.0210526315789473,0.4498554784682058,Normal,1,1,1,1,1,0,1,1,0
KH0153,Chuquitanta,Central Coast,Simple,0,T1,4,1,4,1.0,0.0,0.3539653257251052,Normal,0,0,0,0,0,0,0,0,1
KH0154,Ica,Ica & Paracas,Simple,0,T1,35,2,14,1.0,0.0,0.3665957681486846,Normal,1,0,1,0,0,0,0,0,0
KH0155,Pachacamac,Central Coast,Simple,0,T1,14,0,14,0.7857142857142857,0.0714285714285714,0.3677883765829529,Normal,0,0,0,0,0,0,0,0,0
KH0156,Nazca,Nazca & Far South,Simple,0,T1,192,3,15,0.96875,0.0885416666666666,0.3917746395764496,Normal,1,1,1,0,0,0,0,0,0
KH0157,Ica,Ica & Paracas,Simple,0,T1,20,1,1,1.0,0.0,0.3665616950817753,Normal,0,0,0,0,1,0,0,0,0
KH0158,Ica,Ica & Paracas,Simple,0,T1,18,0,2,0.8333333333333334,0.0555555555555555,0.3656531351628096,Normal,0,0,0,0,0,0,0,0,0
KH0159,Ica,Ica & Paracas,Simple,0,T1,30,2,3,1.0,0.0333333333333333,0.3532582211780271,Normal,0,1,1,0,0,0,0,0,0
KH0160,Pachacamac,Central Coast,Simple,0,T1,62,4,2,0.9032258064516128,0.032258064516129,0.3630168009176707,Normal,1,1,1,0,0,0,0,0,1
KH0161,Pachacamac,Central Coast,Simple,0,T1,90,2,4,0.8333333333333334,0.0777777777777777,0.3466407125452189,Normal,1,1,0,0,0,0,0,0,0
KH0162,Ica,Ica & Paracas,Simple,0,T1,123,5,6,0.8617886178861789,0.0,0.3690701199360316,Normal,1,1,1,1,0,1,0,0,0
KH0163,Ocucaje,Ica & Paracas,Simple,0,T1,18,2,3,1.0,0.0,0.3630062661980521,Normal,1,1,0,0,0,0,0,0,0
KH0164,Ocucaje,Ica & Paracas,Simple,0,T1,20,1,5,1.0,0.1,0.3549402277809542,Normal,0,1,0,0,0,0,0,0,0
KH0165,Ocucaje,Ica & Paracas,Simple,0,T1,112,4,4,0.9464285714285714,0.0625,0.3664721953137328,Normal,1,1,1,0,1,0,0,0,0
KH0166,Ica,Ica & Paracas,Simple,0,T1,41,2,5,0.902439024390244,0.048780487804878,0.3625569330944049,Normal,1,0,0,1,0,0,0,0,0
KH0167,Pachacamac,Central Coast,Simple,0,T1,47,5,2,0.8723404255319149,0.0212765957446808,0.4207833368114967,Normal,1,0,0,1,0,1,0,1,1
KH0168,Ica,Ica & Paracas,Simple,0,T1,118,5,31,0.8983050847457628,0.0508474576271186,0.4183094737658981,Normal,1,1,1,1,0,0,0,0,1
KH0169,Unknown,,Simple,0,T1,40,3,5,0.975,0.025,0.3625794429521405,Normal,1,0,0,1,0,0,0,1,0
KH0170,Near Lima,Central Coast,Simple,0,T1,3,0,3,1.0,0.0,0.3611848049711681,Normal,0,0,0,0,0,0,0,0,0
KH0171,Near Lima,Central Coast,Simple,0,T1,9,1,4,0.8888888888888888,0.1111111111111111,0.3498714979443098,Normal,0,0,0,0,0,0,0,0,1
KH0172,Pachacamac,Central Coast,Simple,0,T1,65,4,4,0.9384615384615383,0.0461538461538461,0.3731251053821552,Normal,1,1,1,0,1,0,0,0,0
KH0173,Unknown,,Simple,0,T1,34,2,1,0.7941176470588235,0.0,0.3748541867578394,Normal,0,0,0,0,0,0,0,1,1
KH0174,Pachacamac,Central Coast,Simple,0,T1,18,0,2,0.6666666666666666,0.1111111111111111,0.3619769651745327,Normal,0,0,0,0,0,0,0,0,0
KH0175,Between Ica and Pisco,Ica & Paracas,Simple,0,T1,53,6,3,0.981132075471698,0.0188679245283018,0.3855855083063215,Normal,1,1,1,1,1,0,0,1,0
KH0176,Between Ica and Pisco,Ica & Paracas,Simple,0,T1,23,3,4,0.8260869565217391,0.0869565217391304,0.3414708670374111,Normal,1,1,1,0,0,0,0,0,0
KH0177,Ica,Ica & Paracas,Simple,0,T1,8,2,1,1.0,0.0,0.3665047063530841,Normal,1,0,0,0,0,1,0,0,0
KH0178,Ica,Ica & Paracas,Simple,0,T1,16,0,11,0.9375,0.0,0.3673493754656141,Normal,0,0,0,0,0,0,0,0,0
